Instance ID,classifier,pred_label,true_label
51,DecisionTree,0,0
52,DecisionTree,0,0
53,DecisionTree,1,1
54,DecisionTree,1,1
55,DecisionTree,1,1
56,DecisionTree,0,1
57,DecisionTree,1,1
58,DecisionTree,1,1
59,DecisionTree,0,0
60,DecisionTree,0,0
61,DecisionTree,0,0
62,DecisionTree,1,1
63,DecisionTree,1,1
64,DecisionTree,0,0
65,DecisionTree,0,1
66,DecisionTree,0,0
67,DecisionTree,0,0
68,DecisionTree,0,0
69,DecisionTree,1,1
70,DecisionTree,1,1
71,DecisionTree,0,0
72,DecisionTree,1,1
73,DecisionTree,1,0
74,DecisionTree,0,0
75,DecisionTree,1,1
76,DecisionTree,1,1
77,DecisionTree,0,1
78,DecisionTree,1,1
79,DecisionTree,1,1
80,DecisionTree,0,0
81,DecisionTree,0,0
82,DecisionTree,0,0
83,DecisionTree,1,1
84,DecisionTree,0,0
85,DecisionTree,1,1
86,DecisionTree,1,1
87,DecisionTree,1,1
88,DecisionTree,0,0
89,DecisionTree,0,0
90,DecisionTree,1,1
91,DecisionTree,0,0
92,DecisionTree,1,1
93,DecisionTree,0,0
94,DecisionTree,1,1
95,DecisionTree,1,1
96,DecisionTree,0,0
97,DecisionTree,0,1
98,DecisionTree,1,1
99,DecisionTree,1,1
100,DecisionTree,1,1
101,DecisionTree,1,1
102,DecisionTree,1,1
103,DecisionTree,1,1
104,DecisionTree,0,0
105,DecisionTree,1,1
106,DecisionTree,0,0
107,DecisionTree,1,1
108,DecisionTree,0,0
109,DecisionTree,0,0
110,DecisionTree,1,1
111,DecisionTree,0,0
112,DecisionTree,0,0
113,DecisionTree,0,1
114,DecisionTree,1,1
115,DecisionTree,1,1
116,DecisionTree,0,1
117,DecisionTree,1,1
118,DecisionTree,0,1
119,DecisionTree,1,1
120,DecisionTree,1,1
121,DecisionTree,1,1
122,DecisionTree,0,0
123,DecisionTree,1,1
124,DecisionTree,0,0
125,DecisionTree,1,1
126,DecisionTree,0,1
127,DecisionTree,1,1
128,DecisionTree,1,1
129,DecisionTree,1,1
130,DecisionTree,0,0
131,DecisionTree,1,1
132,DecisionTree,1,1
133,DecisionTree,0,1
134,DecisionTree,0,1
135,DecisionTree,1,1
136,DecisionTree,1,1
137,DecisionTree,1,0
138,DecisionTree,0,0
139,DecisionTree,1,1
140,DecisionTree,1,1
141,DecisionTree,1,1
142,DecisionTree,0,0
0,RandomForest,0,0
1,RandomForest,1,1
2,RandomForest,1,1
3,RandomForest,1,1
4,RandomForest,1,1
5,RandomForest,1,1
6,RandomForest,1,1
7,RandomForest,1,1
8,RandomForest,1,1
9,RandomForest,1,1
10,RandomForest,0,1
11,RandomForest,1,1
12,RandomForest,1,1
13,RandomForest,0,1
14,RandomForest,0,1
15,RandomForest,0,0
16,RandomForest,1,1
17,RandomForest,0,0
18,RandomForest,0,0
19,RandomForest,0,0
20,RandomForest,0,0
21,RandomForest,0,0
22,RandomForest,1,1
23,RandomForest,1,1
24,RandomForest,0,0
25,RandomForest,1,1
26,RandomForest,1,1
27,RandomForest,0,0
28,RandomForest,1,1
29,RandomForest,0,0
30,RandomForest,1,1
31,RandomForest,0,0
32,RandomForest,1,1
33,RandomForest,0,0
34,RandomForest,1,1
35,RandomForest,0,0
36,RandomForest,1,1
37,RandomForest,0,0
38,RandomForest,1,1
39,RandomForest,0,0
40,RandomForest,1,0
41,RandomForest,1,1
42,RandomForest,0,0
43,RandomForest,1,1
44,RandomForest,1,1
45,RandomForest,0,0
46,RandomForest,1,1
47,RandomForest,1,1
48,RandomForest,1,1
49,RandomForest,0,0
50,RandomForest,0,0
51,RandomForest,0,0
52,RandomForest,0,0
53,RandomForest,1,1
54,RandomForest,1,1
55,RandomForest,1,1
56,RandomForest,1,1
57,RandomForest,1,1
58,RandomForest,1,1
59,RandomForest,0,0
60,RandomForest,0,0
61,RandomForest,0,0
62,RandomForest,1,1
63,RandomForest,1,1
64,RandomForest,0,0
65,RandomForest,1,1
66,RandomForest,0,0
67,RandomForest,0,0
68,RandomForest,0,0
69,RandomForest,1,1
70,RandomForest,1,1
71,RandomForest,0,0
72,RandomForest,1,1
73,RandomForest,1,0
74,RandomForest,0,0
75,RandomForest,1,1
76,RandomForest,1,1
77,RandomForest,1,1
78,RandomForest,1,1
79,RandomForest,1,1
80,RandomForest,0,0
81,RandomForest,0,0
82,RandomForest,0,0
83,RandomForest,1,1
84,RandomForest,0,0
85,RandomForest,1,1
86,RandomForest,1,1
87,RandomForest,1,1
88,RandomForest,0,0
89,RandomForest,0,0
90,RandomForest,1,1
91,RandomForest,0,0
92,RandomForest,1,1
93,RandomForest,0,0
94,RandomForest,1,1
95,RandomForest,1,1
96,RandomForest,0,0
97,RandomForest,1,1
98,RandomForest,1,1
99,RandomForest,1,1
100,RandomForest,1,1
101,RandomForest,1,1
102,RandomForest,1,1
103,RandomForest,1,1
104,RandomForest,0,0
105,RandomForest,1,1
106,RandomForest,0,0
107,RandomForest,1,1
108,RandomForest,0,0
109,RandomForest,0,0
110,RandomForest,1,1
111,RandomForest,0,0
112,RandomForest,0,0
113,RandomForest,1,1
114,RandomForest,1,1
115,RandomForest,1,1
116,RandomForest,1,1
117,RandomForest,1,1
118,RandomForest,1,1
119,RandomForest,1,1
120,RandomForest,1,1
121,RandomForest,1,1
122,RandomForest,0,0
123,RandomForest,1,1
124,RandomForest,0,0
125,RandomForest,1,1
126,RandomForest,1,1
127,RandomForest,1,1
128,RandomForest,1,1
129,RandomForest,1,1
130,RandomForest,0,0
131,RandomForest,1,1
132,RandomForest,1,1
133,RandomForest,1,1
134,RandomForest,1,1
135,RandomForest,1,1
136,RandomForest,1,1
137,RandomForest,0,0
138,RandomForest,0,0
139,RandomForest,1,1
140,RandomForest,1,1
141,RandomForest,1,1
142,RandomForest,0,0
